Hereditary chronic pancreatitis,{'Deletion': '7.000000000000001%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '83.0%'}
Frontofacionasal dysplasia,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '84.0%'}
Frontometaphyseal dysplasia,{'Deletion': '2.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '94.0%'}
Flynn-Aird syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Foix-Chavany-Marie syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Cole-Carpenter syndrome,{'Deletion': '0.0%', 'Duplication': '10.0%', 'Indel': '0.0%', 'Insertion': '10.0%', 'Single nucleotide': '80.0%'}
Splenogonadal fusion-limb defects-micrognathia syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Posterior fusion of lumbosacral vertebrae-blepharoptosis syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Frontonasal dysplasia,{'Deletion': '15.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '85.0%'}
Blepharophimosis-ptosis-esotropia-syndactyly-short stature syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Fryns syndrome,{'Deletion': '6.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '91.0%'}
Gingival fibromatosis-hypertrichosis syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Gingival fibromatosis-facial dysmorphism syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Juvenile hyaline fibromatosis,{'Deletion': '5.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '89.0%'}
Gingival fibromatosis-progressive deafness syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Fibrochondrogenesis,{'Deletion': '3.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '91.0%'}
Femur-fibula-ulna complex,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Hereditary gingival fibromatosis,{'Deletion': '2.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '94.0%'}
Endocardial fibroelastosis,{'Deletion': '10.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '87.0%'}
Paraplegia-intellectual disability-hyperkeratosis syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
FLOTCH syndrome,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '83.0%'}
Floating-Harbor syndrome,{'Deletion': '15.0%', 'Duplication': '6.0%', 'Indel': '2.0%', 'Insertion': '9.0%', 'Single nucleotide': '68.0%'}
Hepatic fibrosis-renal cysts-intellectual disability syndrome,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '86.0%'}
Scalp-ear-nipple syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Median cleft lip/mandibule,{'Deletion': '24.0%', 'Duplication': '7.000000000000001%', 'Indel': '1.0%', 'Insertion': '9.0%', 'Single nucleotide': '57.99999999999999%'}
Alar cartilages hypoplasia-coloboma-telecanthus syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Cleft lip/palate-deafness-sacral lipoma syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Lethal acantholytic erosive disorder,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Epidermolysis bullosa simplex with pyloric atresia,{'Deletion': '1.0%', 'Duplication': '0.0%', 'Indel': '1.0%', 'Insertion': '1.0%', 'Single nucleotide': '97.0%'}
Laryngotracheoesophageal cleft,{'Deletion': '17.0%', 'Duplication': '5.0%', 'Indel': '1.0%', 'Insertion': '6.0%', 'Single nucleotide': '72.0%'}
Cleft lip/palate-intestinal malrotation-cardiopathy syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Epidermolysis bullosa simplex with circinate migratory erythema,{'Deletion': '50.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '50.0%'}
Localized dystrophic epidermolysis bullosa, nails only,{'Deletion': '8.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '86.0%'}
Localized dystrophic epidermolysis bullosa, acral form,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Ectodermal dysplasia-skin fragility syndrome,{'Deletion': '2.0%', 'Duplication': '1.0%', 'Indel': '1.0%', 'Insertion': '2.0%', 'Single nucleotide': '95.0%'}
Cleft palate-lateral synechia syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Sternal cleft,{'Deletion': '0.0%', 'Duplication': '33.0%', 'Indel': '0.0%', 'Insertion': '33.0%', 'Single nucleotide': '33.0%'}
Cleft palate-large ears-small head syndrome,{'Deletion': '4.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '6.0%', 'Single nucleotide': '86.0%'}
Cleft palate-stapes fixation-oligodontia syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Smoldering systemic mastocytosis,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Acrocardiofacial syndrome,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '83.0%'}
Gollop-Wolfgang complex,{'Deletion': '12.0%', 'Duplication': '9.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '73.0%'}
Bilateral striopallidodentate calcinosis,{'Deletion': '12.0%', 'Duplication': '9.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '73.0%'}
Blepharo-cheilo-odontic syndrome,{'Deletion': '14.000000000000002%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '86.0%'}
Cleft lip-retinopathy syndrome,{'Deletion': '3.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '90.0%'}
Pai syndrome,{'Deletion': '20.0%', 'Duplication': '20.0%', 'Indel': '0.0%', 'Insertion': '40.0%', 'Single nucleotide': '20.0%'}
Femoral-facial syndrome,{'Deletion': '5.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '88.0%'}
Familial partial lipodystrophy, Dunnigan type,{'Deletion': '2.0%', 'Duplication': '1.0%', 'Indel': '1.0%', 'Insertion': '2.0%', 'Single nucleotide': '95.0%'}
Mayer-Rokitansky-K�ster-Hauser syndrome type 1,{'Deletion': '20.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '80.0%'}
Kousseff syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
M�llerian aplasia and hyperandrogenism,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Schilbach-Rott syndrome,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
FTH1-related iron overload,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Juvenile cataract-microcornea-renal glucosuria syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Lacrimoauriculodentodigital syndrome,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '83.0%'}
Retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations,{'Deletion': '5.0%', 'Duplication': '6.0%', 'Indel': '0.0%', 'Insertion': '6.0%', 'Single nucleotide': '84.0%'}
Keratosis follicularis spinulosa decalvans,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Odontohypophosphatasia,{'Deletion': '10.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '82.0%'}
Haim-Munk syndrome,{'Deletion': '3.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '90.0%'}
Multiple endocrine neoplasia type 2B,{'Deletion': '3.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '91.0%'}
Kniest dysplasia,{'Deletion': '1.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '97.0%'}
Lipoblastoma,{'Deletion': '20.0%', 'Duplication': '6.0%', 'Indel': '1.0%', 'Insertion': '9.0%', 'Single nucleotide': '63.0%'}
Lethal Kniest-like dysplasia,{'Deletion': '1.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '98.0%'}
Citrullinemia type II,{'Deletion': '9.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '84.0%'}
Kenny-Caffey syndrome,{'Deletion': '38.0%', 'Duplication': '12.0%', 'Indel': '0.0%', 'Insertion': '12.0%', 'Single nucleotide': '38.0%'}
Neonatal intrahepatic cholestasis due to citrin deficiency,{'Deletion': '9.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '84.0%'}
KBG syndrome,{'Deletion': '17.0%', 'Duplication': '5.0%', 'Indel': '0.0%', 'Insertion': '5.0%', 'Single nucleotide': '73.0%'}
Juvenile primary lateral sclerosis,{'Deletion': '6.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '93.0%'}
Perinatal lethal hypophosphatasia,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Prenatal benign hypophosphatasia,{'Deletion': '10.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '82.0%'}
Non-epidermolytic palmoplantar keratoderma,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Infantile hypophosphatasia,{'Deletion': '10.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '82.0%'}
Childhood-onset hypophosphatasia,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Keratosis follicularis-dwarfism-cerebral atrophy syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Adult hypophosphatasia,{'Deletion': '10.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '82.0%'}
Keratoderma hereditarium mutilans,{'Deletion': '11.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '89.0%'}
Kabuki syndrome,{'Deletion': '16.0%', 'Duplication': '6.0%', 'Indel': '1.0%', 'Insertion': '7.000000000000001%', 'Single nucleotide': '70.0%'}
Autosomal recessive secondary polycythemia not associated with VHL gene,{'Deletion': '6.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '94.0%'}
Jung syndrome,{'Deletion': '17.0%', 'Duplication': '8.0%', 'Indel': '0.0%', 'Insertion': '8.0%', 'Single nucleotide': '67.0%'}
Autosomal dominant secondary polycythemia,{'Deletion': '1.0%', 'Duplication': '4.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '92.0%'}
Sanjad-Sakati syndrome,{'Deletion': '10.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '87.0%'}
Primary ciliary dyskinesia-retinitis pigmentosa syndrome,{'Deletion': '5.0%', 'Duplication': '6.0%', 'Indel': '0.0%', 'Insertion': '6.0%', 'Single nucleotide': '84.0%'}
Citrullinemia type I,{'Deletion': '10.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '83.0%'}
Karsch-Neugebauer syndrome,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '83.0%'}
Citrin deficiency,{'Deletion': '9.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '84.0%'}
Kapur-Toriello syndrome,{'Deletion': '20.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '80.0%'}
Lowe-Kohn-Cohen syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Lowry-MacLean syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Thickened earlobes-conductive deafness syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Laryngo-onycho-cutaneous syndrome,{'Deletion': '1.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '98.0%'}
Cystic fibrosis-gastritis-megaloblastic anemia syndrome,{'Deletion': '30.0%', 'Duplication': '15.0%', 'Indel': '0.0%', 'Insertion': '15.0%', 'Single nucleotide': '40.0%'}
Hypergonadotropic hypogonadism-cataract syndrome,{'Deletion': '30.0%', 'Duplication': '15.0%', 'Indel': '0.0%', 'Insertion': '15.0%', 'Single nucleotide': '40.0%'}
Peripheral motor neuropathy-dysautonomia syndrome,{'Deletion': '19.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '81.0%'}
Encephalocraniocutaneous lipomatosis,{'Deletion': '10.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '90.0%'}
Choreoacanthocytosis,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '91.0%'}
Leukoencephalopathy-palmoplantar keratoderma syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Primary hypertrophic osteoarthropathy,{'Deletion': '9.0%', 'Duplication': '1.0%', 'Indel': '2.0%', 'Insertion': '3.0%', 'Single nucleotide': '85.0%'}
Early-onset parkinsonism-intellectual disability syndrome,{'Deletion': '50.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '50.0%'}
Congenitally short costocoracoid ligament,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Lichtenstein syndrome,{'Deletion': '25.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '75.0%'}
Occult macular dystrophy,{'Deletion': '1.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '95.0%'}
Lethal Larsen-like syndrome,{'Deletion': '1.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '95.0%'}
Limb body wall complex,{'Deletion': '0.0%', 'Duplication': '12.0%', 'Indel': '0.0%', 'Insertion': '6.0%', 'Single nucleotide': '81.0%'}
Ectodermal dysplasia-syndactyly syndrome,{'Deletion': '9.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '91.0%'}
Laurin-Sandrow syndrome,{'Deletion': '0.0%', 'Duplication': '50.0%', 'Indel': '0.0%', 'Insertion': '50.0%', 'Single nucleotide': '0.0%'}
Laryngeal abductor paralysis-intellectual disability syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Mandibuloacral dysplasia,{'Deletion': '2.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '97.0%'}
Mucocutaneous venous malformations,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Patterson-Stevenson-Fontaine syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Dominant hypophosphatemia with nephrolithiasis or osteoporosis,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '86.0%'}
Biliary atresia with splenic malformation syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
RFT1-CDG,{'Deletion': '1.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '95.0%'}
HELLP syndrome,{'Deletion': '33.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '67.0%'}
Ollier disease,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
De novo thrombotic microangiopathy after kidney transplantation,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Dimethylglycine dehydrogenase deficiency,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Hypo- and hypermelanotic cutaneous macules-retarded growth-intellectual disability syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Macrocephaly-spastic paraplegia-dysmorphism syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Generalized pustular psoriasis,{'Deletion': '2.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '98.0%'}
Hyperphosphatasia-intellectual disability syndrome,{'Deletion': '0.0%', 'Duplication': '33.0%', 'Indel': '0.0%', 'Insertion': '33.0%', 'Single nucleotide': '33.0%'}
Lower limb malformation-hypospadias syndrome,{'Deletion': '4.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '91.0%'}
Inhalational anthrax,{'Deletion': '0.0%', 'Duplication': '50.0%', 'Indel': '0.0%', 'Insertion': '50.0%', 'Single nucleotide': '0.0%'}
Superficial siderosis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Melorheostosis,{'Deletion': '14.000000000000002%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '86.0%'}
Sporadic adult-onset ataxia of unknown etiology,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Collecting duct carcinoma,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Melnick-Needles syndrome,{'Deletion': '2.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '93.0%'}
Neurocutaneous melanocytosis,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Melhem-Fahl syndrome,{'Deletion': '0.0%', 'Duplication': '5.0%', 'Indel': '0.0%', 'Insertion': '5.0%', 'Single nucleotide': '91.0%'}
Infantile mercury poisoning,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
White forelock with malformations,{'Deletion': '11.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '89.0%'}
Dysraphism-cleft lip/palate-limb reduction defects syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
McKusick-Kaufman syndrome,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '91.0%'}
McDonough syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Matthew-Wood syndrome,{'Deletion': '5.0%', 'Duplication': '3.0%', 'Indel': '2.0%', 'Insertion': '5.0%', 'Single nucleotide': '86.0%'}
Marshall-Smith syndrome,{'Deletion': '23.0%', 'Duplication': '15.0%', 'Indel': '0.0%', 'Insertion': '15.0%', 'Single nucleotide': '47.0%'}
Marinesco-Sj�gren syndrome,{'Deletion': '3.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '92.0%'}
Shprintzen-Goldberg syndrome,{'Deletion': '3.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '95.0%'}
Marden-Walker syndrome,{'Deletion': '19.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '81.0%'}
Anaplastic oligodendroglioma,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Microcephaly-glomerulonephritis-marfanoid habitus syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Ependymoma,{'Deletion': '9.0%', 'Duplication': '4.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '84.0%'}
Infantile systemic hyalinosis,{'Deletion': '5.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '89.0%'}
Myxopapillary ependymoma,{'Deletion': '9.0%', 'Duplication': '4.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '84.0%'}
Anaplastic ependymoma,{'Deletion': '14.000000000000002%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '81.0%'}
Oligoastrocytic tumor,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '85.0%'}
Hydrocephaly-tall stature-joint laxity syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Hydrocephalus-costovertebral dysplasia-Sprengel anomaly syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Hydrocephalus-blue sclerae-nephropathy syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Angiocentric glioma,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '84.0%'}
